state,year,residual
Washington,2017,-1189.6057651868905
Washington,2018,-1206.802621582814
Washington,2019,-1164.456080914868
Washington,2020,-251.75154717822443
Washington,2021,-1311.8669723078638
Washington,2022,-5361.170344805039
Washington,2023,-5593.3991022530245
Washington,2024,-5564.039019985605
West Virginia,2008,-135.70045832330652
West Virginia,2009,571.9022863304781
West Virginia,2010,-484.7196352884348
West Virginia,2011,-439.50660308594524
West Virginia,2012,-739.9101296408917
West Virginia,2013,-1799.956571474424
West Virginia,2014,-1502.0750849847755
West Virginia,2015,-1395.5514098943822
West Virginia,2016,-1444.3990878027034
West Virginia,2017,-749.1132572455681
West Virginia,2018,-668.3967260998033
West Virginia,2019,12.438681895218906
West Virginia,2020,1413.0956837816266
West Virginia,2021,-615.8754163248959
West Virginia,2022,-2214.8084350053396
West Virginia,2023,-3201.528603152765
West Virginia,2024,-3534.1364381638414
Wisconsin,2008,2297.0920503925445
Wisconsin,2009,1504.3035384046816
Wisconsin,2010,982.1054103225688
Wisconsin,2011,1538.325167907431
Wisconsin,2012,1291.246643352395
Wisconsin,2013,902.961902811985
Wisconsin,2014,1100.3998737913425
Wisconsin,2015,2278.387694712772
Wisconsin,2016,2218.7589568767653
Wisconsin,2017,2057.5282010647934
Wisconsin,2018,1829.310986852288
Wisconsin,2019,1705.4246825095324
Wisconsin,2020,3711.51265748874
Wisconsin,2021,3291.2376398766937
Wisconsin,2022,559.0131552734529
Wisconsin,2023,-1027.5280617569806
Wisconsin,2024,-2130.221691713814
Wyoming,2008,7903.906370280609
Wyoming,2009,4239.863656283473
Wyoming,2010,5099.692611400307
Wyoming,2011,4976.29780859172
Wyoming,2012,6352.981712007611
Wyoming,2013,4535.8289357423055
Wyoming,2014,5458.1621164802345
Wyoming,2015,5590.168660193151
Wyoming,2016,3199.822664533567
Wyoming,2017,4021.3542458577867
Wyoming,2018,7228.839385348474
Wyoming,2019,6456.9204532758595
Wyoming,2020,8965.995249994507
Wyoming,2021,9420.807026510214
Wyoming,2022,7173.9498945651285
Wyoming,2023,6519.198097869827
Wyoming,2024,4806.888908337554
