state,year,residual
Hawaii,2008,-3356.402815639085
Hawaii,2009,-4673.999289084139
Hawaii,2010,-4066.581857590805
Hawaii,2011,-4696.163881089109
Hawaii,2012,-4551.660109641656
Hawaii,2013,-6566.401816457095
Hawaii,2014,-5777.122529612876
Hawaii,2015,-5544.306934426058
Hawaii,2016,-4798.888867089641
Hawaii,2017,-5092.99365733107
Hawaii,2018,-5862.04600703442
Hawaii,2019,-6097.5545055002585
Hawaii,2020,-6277.830794798487
Hawaii,2021,-6789.324934152319
Hawaii,2022,-8868.6880175783
Hawaii,2023,-9213.082911221616
Hawaii,2024,-9925.338933538005
Idaho,2008,-2488.1037123740825
Idaho,2009,-3268.0979861736996
Idaho,2010,-2796.249854091744
Idaho,2011,-3197.2025947456787
Idaho,2012,-2848.4997868688442
Idaho,2013,-2947.055544680741
Idaho,2014,-2724.988472526471
Idaho,2015,-2113.7225456122687
Idaho,2016,-1480.4438946111477
Idaho,2017,-2116.1317075328698
Idaho,2018,-636.7993443074884
Idaho,2019,-339.22822820158035
Idaho,2020,1843.84693185598
Idaho,2021,2116.3471571365008
Idaho,2022,-934.2281409794305
Idaho,2023,-2399.359287741987
Idaho,2024,-4601.4236348544655
Illinois,2008,1449.9953480543918
Illinois,2009,-211.21786581754714
Illinois,2010,-535.3298356149826
Illinois,2011,-747.0769961266196
Illinois,2012,-209.91031492293405
Illinois,2013,-79.19460128970968
Illinois,2014,351.8528397258051
Illinois,2015,1738.9667170525063
Illinois,2016,1234.7353253974434
Illinois,2017,721.3522474937927
Illinois,2018,852.8043959157076
Illinois,2019,1294.8053950977046
Illinois,2020,1800.529559973118
Illinois,2021,768.4334026433207
Illinois,2022,-2582.0758225003374
Illinois,2023,-2257.192791820329
Illinois,2024,-3789.8268925178127
Indiana,2008,507.75214427225
Indiana,2009,-352.1028040268138
Indiana,2010,-396.1417029654185
Indiana,2011,141.50193899097212
Indiana,2012,29.138583060797828
Indiana,2013,-453.6162111804879
Indiana,2014,-226.39027322160837
Indiana,2015,1137.2331017529214
Indiana,2016,1282.2138339530793
Indiana,2017,1499.936545472854
Indiana,2018,509.7456877814693
Indiana,2019,636.0646002421126
Indiana,2020,2435.4773047170675
Indiana,2021,2288.8846463305526
Indiana,2022,-341.03510325460957
Indiana,2023,-1549.3844634116685
Indiana,2024,-2819.541785025911
Iowa,2008,5138.8203064432455
Iowa,2009,3095.6076375796692
Iowa,2010,2205.7207882285584
Iowa,2011,3473.6628031595537
Iowa,2012,3085.213470614166
Iowa,2013,2686.8693824838483
Iowa,2014,2589.1879316055856
Iowa,2015,4115.526475204977
Iowa,2016,3801.7517773207583
Iowa,2017,3677.2160139865227
Iowa,2018,2202.581459115405
Iowa,2019,1907.3303454868583
Iowa,2020,3581.2261910885136
Iowa,2021,4487.375239517438
Iowa,2022,2937.9068208416575
Iowa,2023,1027.9474456400785
Iowa,2024,1131.4390380089608
Kansas,2008,5553.172845815745
Kansas,2009,3474.516207268258
Kansas,2010,2327.2118355890852
Kansas,2011,3149.829575197975
Kansas,2012,3140.3009914197464
Kansas,2013,3289.7517773207583
Kansas,2014,2633.957448297784
Kansas,2015,2911.6596203315275
Kansas,2016,2904.699427617408
Kansas,2017,3154.5149319694974
Kansas,2018,2616.132035735296
Kansas,2019,2608.053692849724
Kansas,2020,3838.8237545502925
Kansas,2021,3946.243366077062
Kansas,2022,2374.827751278266
Kansas,2023,592.471120730479
Kansas,2024,-187.40164201280277
Kentucky,2008,-191.0572705405575
Kentucky,2009,89.33307775382855
Kentucky,2010,-802.2888438650771
Kentucky,2011,-900.8177909822116
Kentucky,2012,-1128.1284338701225
Kentucky,2013,-1689.4859727651929
Kentucky,2014,-1477.8493286953599
